track,artist,valence_tags,arousal_tags,dominance_tags,genre,emotion,tags
Falling In Love Again,Blackstreet,7.353333333333333,6.37,6.306666666666667,hip hop,happy,"['rnb', '1994', 'hip hop', 'sexy', 'Love', '90s', 'truth', 'slow jams', 'sexual', 'contemporary rnb']"
Blasphemer,Lucifers Crossing,3.172857142857143,4.494285714285715,3.4685714285714284,metal,sad,"['metal', 'rock', 'horror', 'marilyn manson', 'electronic', 'dark', 'death', 'satanic', 'Pagan', 'industrial metal']"
Justify My Love (porno mix) Rare,Madonna,6.64,6.95,7.0,unknown,happy,"['remix', 'sexual', 'Rare', 'Madonna', 'porno mix']"
One,Aimee Mann,4.6836752136752136,3.50017094017094,5.018205128205127,soundtrack,sad,"['female vocalists', 'Soundtrack', 'singer-songwriter', 'cover', 'alternative', 'covers', 'Aimee Mann', 'indie', 'Mellow', 'Magnolia']"
Roads Untraveled,Linkin Park,3.6526315789473687,3.9821052631578944,4.387368421052631,alternative rock,sad,"['alternative rock', 'rock', 'electronic rock', 'alternative', 'Linkin Park', 'crying while listening', '2012', 'sad', 'life', 'perfect']"
Two Skaters,Nits,2.86,2.045,2.555,pop,sad,"['pop', 'new wave', '80s', 'post-punk', 'atmospheric', 'dutch', 'live', 'radio paradise', 'radioparadise', 'Numerical Titillation']"
I'll be seeing you,Frank Sinatra,7.336213592233008,4.50252427184466,6.4936893203883495,jazz,happy,"['jazz', 'vocal', 'easy listening', 'romantic', 'beautiful', 'lounge', 'oldies', 'male vocalists', 'crooners', 'favorites']"
Teen Angel,Frankie Lymon and The Teenagers,3.61,3.01,3.145,unknown,sad,"['intimate', 'unsettling', 'Golden greats of feel-good depression']"
City Theme,Vanessa-Mae,6.46,5.41,6.95,classical,happy,"['instrumental', 'Classical', 'violin', 'contemporary classical', 'Vanessa-Mae', 'female', '80s', 'Fusion', 'strings', 'Recommended']"
"Pedraforca, Terra De Bruixes",Narsilion,5.288260869565217,4.629565217391304,4.901304347826087,soundtrack,happy,"['Soundtrack', 'noise', 'trance', 'classic rock', 'test', 'black metal', 'Female fronted metal', 'metalcore', 'marilyn manson', 'nu jazz']"
Blues For Marili ( LP Version ),T-Bone Walker,3.05,3.05,5.79,unknown,sad,"['blues guitar', 'lazy']"
When You Have A Faint Heart,The Harvest Ministers,3.236666666666667,2.87,3.43,sad,sad,"['heart flood', 'sad', 'romantic', 'beautiful', 'literate']"
OnceBittenTwiceShy,Poison,3.85,5.64,4.6,unknown,sad,['sleazy']
Desperate Guys,The Faint,6.605409836065574,5.242622950819673,5.639344262295082,electronic,happy,"['electronic', 'indie', 'dance', 'new wave', 'electronica', 'electro', 'The Faint', 'alternative', 'indie rock', 'fun']"
1 A.M.,Beautiful Creatures,3.850000000000001,5.64,4.6,hard rock,sad,"['hard rock', 'rock', 'alternative metal', 'alternative rock', 'Dj Ashba', 'metal', 'Glam Metal', 'sleaze rock', 'beautiful creatures', 'alternative']"
The Feeling,Puressence,6.55,5.535,6.035,pop,happy,"['pop', 'sexy', 'britpop', 'orchestral', 'songwriter', 'favourite', 'stylish', 'kleine helfer 2']"
Beyond You,Marillion,6.584999999999999,5.9750000000000005,5.344999999999999,progressive rock,happy,"['Progressive rock', 'beautiful', 'rock', 'Love', '90s', 'art rock', 'dramatic', 'Favourites', 'fucked up', 'neo progressive']"
