track,artist,valence_tags,arousal_tags,dominance_tags,genre,emotion,tags_with_weights,tag_text
Falling In Love Again,Blackstreet,7.353333333333333,6.37,6.306666666666667,hip hop,happy,"[('rnb', 100), ('1994', 100), ('hip hop', 50), ('sexy', 50), ('Love', 50), ('90s', 50), ('truth', 50), ('slow jams', 50), ('sexual', 50), ('contemporary rnb', 50), ('slow jams tag', 50), ('New Soul - Hip Hop - Rap', 50), ('sweet and sour', 50), ('slow soul love jams', 50), ('Pnk', 50), ('Silkie', 50), ('auwch', 50), ('rn-b-soul and more', 50), ('rigthious', 50)]",rnb rnb rnb rnb rnb rnb rnb rnb rnb rnb 1994 1994 1994 1994 1994 1994 1994 1994 1994 1994 hip hop hip hop hip hop hip hop hip hop sexy sexy sexy sexy sexy Love Love Love Love Love 90s 90s 90s 90s 90s truth truth truth truth truth slow jams slow jams slow jams slow jams slow jams sexual sexual sexual sexual sexual contemporary rnb contemporary rnb contemporary rnb contemporary rnb contemporary rnb slow jams tag slow jams tag slow jams tag slow jams tag slow jams tag New Soul - Hip Hop - Rap New Soul - Hip Hop - Rap New Soul - Hip Hop - Rap New Soul - Hip Hop - Rap New Soul - Hip Hop - Rap sweet and sour sweet and sour sweet and sour sweet and sour sweet and sour slow soul love jams slow soul love jams slow soul love jams slow soul love jams slow soul love jams Pnk Pnk Pnk Pnk Pnk Silkie Silkie Silkie Silkie Silkie auwch auwch auwch auwch auwch rn-b-soul and more rn-b-soul and more rn-b-soul and more rn-b-soul and more rn-b-soul and more rigthious rigthious rigthious rigthious rigthious
Blasphemer,Lucifers Crossing,3.172857142857143,4.494285714285715,3.4685714285714284,metal,sad,"[('metal', 100), ('rock', 100), ('horror', 100), ('marilyn manson', 50), ('electronic', 50), ('dark', 50), ('death', 50), ('satanic', 50), ('Pagan', 50), ('industrial metal', 50), ('evil', 50), ('Black', 50), ('rap metal', 50), ('anthem', 50), ('i', 50), ('industrial dance', 50), ('Wicked', 50), ('lucifer', 50), ('Macabre', 50), ('KILL', 50)]",metal metal metal metal metal metal metal metal metal metal rock rock rock rock rock rock rock rock rock rock horror horror horror horror horror horror horror horror horror horror marilyn manson marilyn manson marilyn manson marilyn manson marilyn manson electronic electronic electronic electronic electronic dark dark dark dark dark death death death death death satanic satanic satanic satanic satanic Pagan Pagan Pagan Pagan Pagan industrial metal industrial metal industrial metal industrial metal industrial metal evil evil evil evil evil Black Black Black Black Black rap metal rap metal rap metal rap metal rap metal anthem anthem anthem anthem anthem i i i i i industrial dance industrial dance industrial dance industrial dance industrial dance Wicked Wicked Wicked Wicked Wicked lucifer lucifer lucifer lucifer lucifer Macabre Macabre Macabre Macabre Macabre KILL KILL KILL KILL KILL
Justify My Love (porno mix) Rare,Madonna,6.64,6.95,7.0,unknown,happy,"[('remix', 100), ('sexual', 100), ('Rare', 100), ('Madonna', 100), ('porno mix', 100)]",remix remix remix remix remix remix remix remix remix remix sexual sexual sexual sexual sexual sexual sexual sexual sexual sexual Rare Rare Rare Rare Rare Rare Rare Rare Rare Rare Madonna Madonna Madonna Madonna Madonna Madonna Madonna Madonna Madonna Madonna porno mix porno mix porno mix porno mix porno mix porno mix porno mix porno mix porno mix porno mix
One,Aimee Mann,4.6836752136752136,3.50017094017094,5.018205128205127,soundtrack,sad,"[('female vocalists', 100), ('Soundtrack', 99), ('singer-songwriter', 64), ('cover', 64), ('alternative', 39), ('covers', 31), ('Aimee Mann', 29), ('indie', 24), ('Mellow', 24), ('Magnolia', 23), ('pop', 20), ('sad', 20), ('rock', 15), ('melancholy', 13), ('female vocalist', 13), ('indie pop', 10), ('Love', 10), ('Reflective', 10), ('soundtrackgdchill', 10), ('90s', 8)]",female vocalists female vocalists female vocalists female vocalists female vocalists female vocalists female vocalists female vocalists female vocalists female vocalists Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack singer-songwriter singer-songwriter singer-songwriter singer-songwriter singer-songwriter singer-songwriter cover cover cover cover cover cover alternative alternative alternative covers covers covers Aimee Mann Aimee Mann indie indie Mellow Mellow Magnolia Magnolia pop pop sad sad rock melancholy female vocalist indie pop Love Reflective soundtrackgdchill
Roads Untraveled,Linkin Park,3.6526315789473687,3.9821052631578944,4.387368421052631,alternative rock,sad,"[('alternative rock', 100), ('rock', 83), ('electronic rock', 35), ('alternative', 27), ('Linkin Park', 27), ('crying while listening', 22), ('2012', 18), ('sad', 14), ('life', 14), ('perfect', 9), ('6 of 10 stars', 9), ('folk', 5), ('pop rock', 5), ('Love', 5), ('Awesome', 5), ('american', 5), ('deep', 5), ('folk rock', 5), ('male vocalists', 5), ('00s', 5)]",alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock alternative rock rock rock rock rock rock rock rock rock electronic rock electronic rock electronic rock alternative alternative Linkin Park Linkin Park crying while listening crying while listening 2012 sad life
Two Skaters,Nits,2.86,2.045,2.555,pop,sad,"[('pop', 100), ('new wave', 100), ('80s', 50), ('post-punk', 50), ('atmospheric', 50), ('dutch', 50), ('live', 50), ('radio paradise', 50), ('radioparadise', 50), ('Numerical Titillation', 50), ('Angst-Ridden', 50), ('Nits', 50), ('80s Pop-Rock', 50), ('doorchaserpop', 50)]",pop pop pop pop pop pop pop pop pop pop new wave new wave new wave new wave new wave new wave new wave new wave new wave new wave 80s 80s 80s 80s 80s post-punk post-punk post-punk post-punk post-punk atmospheric atmospheric atmospheric atmospheric atmospheric dutch dutch dutch dutch dutch live live live live live radio paradise radio paradise radio paradise radio paradise radio paradise radioparadise radioparadise radioparadise radioparadise radioparadise Numerical Titillation Numerical Titillation Numerical Titillation Numerical Titillation Numerical Titillation Angst-Ridden Angst-Ridden Angst-Ridden Angst-Ridden Angst-Ridden Nits Nits Nits Nits Nits 80s Pop-Rock 80s Pop-Rock 80s Pop-Rock 80s Pop-Rock 80s Pop-Rock doorchaserpop doorchaserpop doorchaserpop doorchaserpop doorchaserpop
I'll be seeing you,Frank Sinatra,7.336213592233008,4.50252427184466,6.4936893203883495,jazz,happy,"[('jazz', 100), ('vocal', 58), ('easy listening', 58), ('romantic', 58), ('beautiful', 43), ('lounge', 29), ('oldies', 29), ('male vocalists', 29), ('crooners', 29), ('favorites', 15), ('Love', 15), ('vocal jazz', 15), ('Vocal Music', 15), ('cover', 15), ('swing', 15), ('morning', 15), ('Big Band', 15), ('late night', 15), ('american', 15), ('Mellow', 15)]",jazz jazz jazz jazz jazz jazz jazz jazz jazz jazz vocal vocal vocal vocal vocal easy listening easy listening easy listening easy listening easy listening romantic romantic romantic romantic romantic beautiful beautiful beautiful beautiful lounge lounge oldies oldies male vocalists male vocalists crooners crooners favorites Love vocal jazz Vocal Music cover swing morning Big Band late night american Mellow
Teen Angel,Frankie Lymon and The Teenagers,3.61,3.01,3.145,unknown,sad,"[('intimate', 100), ('unsettling', 100), ('Golden greats of feel-good depression', 100)]",intimate intimate intimate intimate intimate intimate intimate intimate intimate intimate unsettling unsettling unsettling unsettling unsettling unsettling unsettling unsettling unsettling unsettling Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression Golden greats of feel-good depression
City Theme,Vanessa-Mae,6.46,5.41,6.95,classical,happy,"[('instrumental', 100), ('Classical', 86), ('violin', 72), ('contemporary classical', 43), ('Vanessa-Mae', 43), ('female', 15), ('80s', 15), ('Fusion', 15), ('strings', 15), ('Recommended', 15), ('wake up', 15), ('loneliness after dusk', 15), ('powerful', 15), ('4 of 10 stars', 15), ('classical crossover', 15), ('eargasmic', 15), ('city theme', 15), ('violin techno-acoustic fusion', 15), ('they played this when music was not junk', 15), ('WowIGuess', 15)]",instrumental instrumental instrumental instrumental instrumental instrumental instrumental instrumental instrumental instrumental Classical Classical Classical Classical Classical Classical Classical Classical violin violin violin violin violin violin violin contemporary classical contemporary classical contemporary classical contemporary classical Vanessa-Mae Vanessa-Mae Vanessa-Mae Vanessa-Mae female 80s Fusion strings Recommended wake up loneliness after dusk powerful 4 of 10 stars classical crossover eargasmic city theme violin techno-acoustic fusion they played this when music was not junk WowIGuess
"Pedraforca, Terra De Bruixes",Narsilion,5.288260869565217,4.629565217391304,4.901304347826087,soundtrack,happy,"[('Soundtrack', 100), ('noise', 100), ('trance', 100), ('classic rock', 100), ('test', 100), ('black metal', 100), ('Female fronted metal', 100), ('metalcore', 100), ('marilyn manson', 100), ('nu jazz', 100), ('metal', 100), ('Hip-Hop', 100), ('spanish', 100), ('chillout', 100), ('electronic', 100), ('electronica', 100), ('trip-hop', 100), ('seen live', 100), ('electropop', 100), ('indie', 100)]",Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack Soundtrack noise noise noise noise noise noise noise noise noise noise trance trance trance trance trance trance trance trance trance trance classic rock classic rock classic rock classic rock classic rock classic rock classic rock classic rock classic rock classic rock test test test test test test test test test test black metal black metal black metal black metal black metal black metal black metal black metal black metal black metal Female fronted metal Female fronted metal Female fronted metal Female fronted metal Female fronted metal Female fronted metal Female fronted metal Female fronted metal Female fronted metal Female fronted metal metalcore metalcore metalcore metalcore metalcore metalcore metalcore metalcore metalcore metalcore marilyn manson marilyn manson marilyn manson marilyn manson marilyn manson marilyn manson marilyn manson marilyn manson marilyn manson marilyn manson nu jazz nu jazz nu jazz nu jazz nu jazz nu jazz nu jazz nu jazz nu jazz nu jazz metal metal metal metal metal metal metal metal metal metal Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop Hip-Hop spanish spanish spanish spanish spanish spanish spanish spanish spanish spanish chillout chillout chillout chillout chillout chillout chillout chillout chillout chillout electronic electronic electronic electronic electronic electronic electronic electronic electronic electronic electronica electronica electronica electronica electronica electronica electronica electronica electronica electronica trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop trip-hop seen live seen live seen live seen live seen live seen live seen live seen live seen live seen live electropop electropop electropop electropop electropop electropop electropop electropop electropop electropop indie indie indie indie indie indie indie indie indie indie
